libtirpc 1.3.2-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-16
libunistring 0.9.10-3
libunwind 1.5.0-1
libupnp 1.14.12-1
liburing 2.1-1
libusb 1.0.24-2
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libva 2.13.0-1
libvdpau 1.4-1
libvirt 1:7.7.0-1
libvirt-glib 4.0.0-1
libvirt-python 1:7.3.0-1
libvisio 0.1.7-5
libvisual 0.4.0-8
libvorbis 1.3.7-2
libvpx 1.10.0-1
libwacom 1.12-1
libwebp 1.2.1-2
libwmf 0.2.12-2
libwpd 0.10.3-3
libwpe 1.10.1-1
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.2-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.26-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.3.1-1
libxkbcommon-x11 1.3.1-1
libxkbfile 1.1.0-2
libxml2 2.9.12-2
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxres 1.2.1-1
libxshmfence 1.3-2
libxslt 1.1.34-6
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
libzip 1.8.0-1
libzmf 0.0.2-10
licenses 20200427-1
lilv 0.24.12-1
linux 5.14.8.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20210919.d526e04-1
linux-headers 5.14.8.arch1-1
llvm-libs 12.0.1-4
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lpsolve 5.5.2.11-1
lsb-release 1.4-18
lshw B.02.19.2-3
lsof 4.94.0-1
lua52 5.2.4-5
lua53 5.3.6-1
luajit 2.0.5-3
lv2 1.18.2-1
lvm2 2.03.13-1
lxmenu-data 0.1.5-3
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.9.4-2
mbedtls 2.27.0-1
md4c 0.4.8-1
mdadm 4.1-2
media-player-info 24-2
menu-cache 1.1.0-2
mesa 21.2.3-1
metis 5.1.0.p10-2
milou 5.22.5-1
minizip 1:1.2.11-4
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mlocate 0.26.git.20170220-7
mlt 7.0.1-1
mobile-broadband-provider-info 20210805-1
mpfr 4.1.0.p13-1
mpg123 1.29.0-1
mpv 1:0.33.1-3
mtdev 1.1.6-1
mtools 1:4.0.35-1
mujs 1.1.3-1
mupdf 1.18.0-2
mypaint-brushes1 1.3.1-1
nano 5.8-1
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.32.1-1
nerd-fonts-mononoki 2.1.0-2
netpbm 10.73.36-1
nettle 3.7.3-1
networkmanager 1.32.12-1
nftables 1:1.0.0-1
nightshift 0.6-1
nload 0.7.4-7
nmap 7.92-1
nomacs 1:3.17.2206-3
noto-fonts 20201226-2
noto-fonts-sc 2:20201206-5
npth 1.6-3
nspr 4.32-1
nss 3.70-1
ntfs-3g 2021.8.22-1
numactl 2.0.14-1
obs-studio 27.0.1-3
obs-v4l2sink-git 0.1.0.r27.09878f7+obs27.0.1-1
openal 1.21.1-1
opencore-amr 0.1.5-5
opencv 4.5.3-4
openexr 3.1.1-1
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openssh 8.8p1-1
openssl 1.1.1.l-1
opus 1.3.1-2
orc 0.4.32-1
osinfo-db 20210903-1
otf-font-awesome 5.15.4-1
p11-kit 0.24.0-1
pacman 6.0.1-2
pacman-contrib 1.4.0-4
pacman-mirrorlist 20210822-1
pahole 1.22-1
pam 1.5.2-1
pambase 20210605-2
pango 1:1.48.10-1
pango-perl 1.227-14
pangomm 2.46.1-2
parted 3.4-2
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.37-1
perl 5.34.0-2
perl-cairo-gobject 1.004-11
perl-error 0.17029-3
perl-glib-object-introspection 0.047-6
perl-gtk3 0.038-1
perl-libintl-perl 1.32-2
perl-locale-gettext 1.07-11
perl-mailtools 2.21-5
perl-timedate 2.33-3
phodav 2.5-1
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
picom 8.2-1
pinentry 1.1.1-1
pipewire 1:0.3.38-1
pipewire-media-session 1:0.3.38-1
pixman 0.40.0-1
pkgconf 1.8.0-1
plasma-framework 5.86.0-1
plasma-integration 5.22.5-1
polkit 0.119-1
polkit-qt5 0.114.0-1
polybar-git 3.5.6.r128.g5f346224-1
poppler 21.09.0-1
poppler-data 0.4.11-1
poppler-glib 21.09.0-1
poppler-qt5 21.09.0-1
popt 1.18-1
portsmf 234-2
prison 5.86.0-1
procps-ng 3.3.17-1
protobuf 3.17.3-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulsemixer 1.5.1-2
purpose 5.86.0-1
python 3.9.7-1
python-appdirs 1.4.4-3
python-cairo 1.20.1-1
python-chardet 4.0.0-2
python-dnspython 1:2.1.0-1
python-gobject 3.40.1-1
python-idna 3.2-1
python-markdown 3.3.4-1
python-more-itertools 8.10.0-1
python-ordered-set 4.0.2-3
python-packaging 20.9-2
python-psutil 5.8.0-1
python-pyparsing 2.4.7-3
python-pyxdg 0.27-1
python-requests 2.26.0-1
python-setuptools 1:57.4.0-2
python-shiboken2 5.15.2-9
python-six 1.16.0-1
python-urllib3 1.26.6-1
python-urwid 2.1.2-1
python2 2.7.18-4
qemu 6.1.0-2
qqc2-desktop-style 5.86.0-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r228-1
qt5-declarative 5.15.2+kde+r31-1
qt5-graphicaleffects 5.15.2-1
qt5-imageformats 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-networkauth 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2+kde+r8-1
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-wayland 5.15.2+kde+r33-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.6-2
qt5-webkit 5.212.0alpha4-10
qt5-x11extras 5.15.2-1
quazip 1.1-1
raptor 2.0.15-16
rasqal 1:0.9.33-4
rav1e 0.4.1-1
re2 1:20210901-1
readline 8.1.001-1
redland 1:1.0.17-8
redshift 1.12-4
rest 0.8.1-3
ripgrep 13.0.0-2
rnnoise 0.4.1-1
rofi 1.7.0-1
rtkit 0.13-1
rubberband 1.9.2-1
ruby 3.0.2-1
ruby-irb 1.3.6-1
ruby-reline 0.2.5-1
rubygems 3.2.21-1
run-parts 5.5-1
s-tui 1.1.1-1
sbc 1.5-2
scrot 1.6-2
sdl2 2.0.16-3
seabios 1.14.0-1
sed 4.8-1
serd 0.30.10-1
shaderc 2021.2-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signon-kwallet-extension 21.08.1-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
simplenote-electron-bin 2.19.1-1
simplescreenrecorder 0.4.3-1
slang 2.3.2-2
smbclient 4.15.0-1
snappy 1.1.9-2
solid 5.86.0-1
sonnet 5.86.0-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-1
speedtest-cli 2.1.3-1
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.15.0-1
spice-gtk 0.39-3
spirv-tools 2021.3-1
spotify 1:1.1.68.632-1
sqlite 3.36.0-1
sratom 0.6.8-1
srt 1.4.3-1
startup-notification 0.12-7
steam 1.0.0.72-2
stress 1.0.4-6
sudo 1.9.8.p2-1
suil 0.10.10-1
suitesparse 5.10.1-1
sunpinyin 3.0.0rc1-4
sunpinyin-data 1:2.0.3.20140820-3
svt-av1 0.8.7-1
syndication 5.86.0-1
syntax-highlighting 5.86.0-1
sysfsutils 2.1.1-1
systemd 249.4-1
systemd-libs 249.4-1
systemd-sysvcompat 249.4-1
taglib 1.12-1
talloc 2.3.3-1
tar 1.34-1
tbb 2020.3-1
tcl 8.6.11-1
tdb 1.4.5-1
telegram-desktop 3.1.1-1
tevent 1:0.11.0-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
threadweaver 5.86.0-1
thunar 4.16.10-1
tracker 2.3.6+7+gb27396252-2
tracker3 3.2.0-2
tslib 1.22-1
ttf-caladea 20200113-3
ttf-carlito 20130920-6
ttf-font-awesome 5.15.4-1
ttf-hack 3.003-3
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-windows 1-1
twolame 0.4.0-2
tzdata 2021b-1
uchardet 0.0.7-1
udisks2 2.9.4-1
unzip 6.0-14
upower 0.99.13-1
usbmuxd 1.1.1-1
usbredir 0.11.0-1
usbutils 014-1
util-linux 2.37.2-1
util-linux-libs 2.37.2-1
v4l-utils 1.20.0-1
v4l2loopback-dkms 0.12.5-1
vamp-plugin-sdk 2.10.0-1
vde2 2.3.2-16
vid.stab 1.1-3
vim 8.2.3441-1
vim-runtime 8.2.3441-1
virglrenderer 0.9.1-1
virt-install 3.2.0-1
virt-manager 3.2.0-1
vlc 3.0.16-3
vmaf 1.5.3-1
volume_key 0.3.12-5
vte-common 0.64.2-2
vte3 0.64.2-2
vulkan-icd-loader 1.2.194-1
vulkan-intel 21.2.3-1
w3m 0.5.3.git20210102_6-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.23-1
webkit2gtk 2.32.4-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.10.0-1
x264 3:0.161.r3039.544c61f-1
x265 3.5-1
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xcompmgr 1.1.8-2
xdg-dbus-proxy 0.1.2-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.0-1
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-vesa 2.5.0-1
xfce4-terminal 0.8.10-2
xfconf 4.16.0-2
xfsprogs 5.13.0-1
xkeyboard-config 2.33-2
xmlsec 1.2.32-1
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.13-2
xorg-server-common 1.20.13-2
xorg-server-devel 1.20.13-2
xorg-server-xephyr 1.20.13-2
xorg-server-xnest 1.20.13-2
xorg-server-xvfb 1.20.13-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-util-macros 1.19.3-1
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmag 1.0.6-3
xorg-xmessage 1.0.5-2
